Date,Close/Last,Volume,Open,High,Low
4/22/2019,$319.09 ,528246,$318.58 ,$321.42 ,$315.75 
4/18/2019,$319.03 ,1107619,$321.77 ,$323.46 ,$312.50 
4/17/2019,$318.69 ,1175263,$330.93 ,$331.68 ,$315.35 
4/16/2019,$329.50 ,975241,$336.10 ,$339.79 ,$327.18 
4/15/2019,$335.12 ,1074377,$338.62 ,$340.06 ,$333.68 
4/12/2019,$338.37 ,1454070,$331.86 ,$340.40 ,$331.18 
4/11/2019,$328.52 ,888878,$325 ,$328.58 ,$322.81 
4/10/2019,$324.86 ,1033257,$317.01 ,$325.49 ,$314.40 
4/9/2019,$316.64 ,917978,$320.92 ,$322.57 ,$315.35 
4/8/2019,$323.61 ,1093586,$322.13 ,$324 ,$314.09 
4/5/2019,$323.50 ,841872,$317.36 ,$323.62 ,$316.16 
4/4/2019,$315.02 ,538103,$318.03 ,$318.55 ,$311.84 
